State,Year,Month,SPI
TN,2001,7,0.289157894736842
TN,2001,8,0.24831578947368432
TN,2001,9,0.17263157894736844
TN,2001,10,0.4655789473684209
TN,2001,11,0.2380000000000001
TN,2001,12,0.2293684210526316
TN,2002,1,0.8422105263157892
TN,2002,2,-1.1702105263157894
TN,2002,3,1.3590526315789468
TN,2002,4,-1.1577894736842103
TN,2002,5,0.5863157894736841
TN,2002,6,-0.9545263157894734
TN,2002,7,-0.13399999999999998
TN,2002,8,-0.3276842105263158
TN,2002,9,1.547789473684211
TN,2002,10,1.0345263157894737
TN,2002,11,0.29978947368421055
TN,2002,12,0.7215789473684212
TN,2003,1,-1.337263157894737
TN,2003,2,1.9888421052631584
TN,2003,3,-1.4022105263157898
TN,2003,4,0.4746315789473683
TN,2003,5,1.9780000000000009
TN,2003,6,0.5798947368421055
TN,2003,7,0.7617894736842107
TN,2003,8,0.43010526315789466
TN,2003,9,1.051894736842105
TN,2003,10,-0.5102105263157893
TN,2003,11,0.9201052631578946
TN,2003,12,-0.3129473684210527
TN,2004,1,-0.45147368421052625
TN,2004,2,0.3634736842105264
TN,2004,3,-0.08631578947368426
TN,2004,4,0.1697894736842105
TN,2004,5,0.49168421052631567
TN,2004,6,0.8250526315789474
TN,2004,7,0.25094736842105253
TN,2004,8,0.21136842105263162
TN,2004,9,0.47589473684210537
TN,2004,10,0.9702105263157895
TN,2004,11,1.1235789473684212
TN,2004,12,0.7114736842105264
TN,2005,1,-0.06978947368421054
TN,2005,2,-0.001157894736842107
TN,2005,3,-0.8488421052631573
TN,2005,4,0.8075789473684211
TN,2005,5,-1.6150526315789477
TN,2005,6,-0.008736842105263166
TN,2005,7,0.5066315789473682
TN,2005,8,0.767052631578947
TN,2005,9,-0.48199999999999993
TN,2005,10,-1.7006315789473685
TN,2005,11,0.0036842105263158
TN,2005,12,-0.7792631578947371
TN,2006,1,0.6695789473684208
TN,2006,2,-0.6327368421052632
TN,2006,3,-0.9626315789473682
TN,2006,4,0.6567368421052632
TN,2006,5,-0.0788421052631579
TN,2006,6,-0.35305263157894734
TN,2006,7,-0.42621052631578965
TN,2006,8,0.2477894736842106
TN,2006,9,0.7411578947368423
TN,2006,10,0.45463157894736855
TN,2006,11,0.09789473684210527
TN,2006,12,-0.7123157894736843
TN,2007,1,-0.21073684210526317
TN,2007,2,-1.2233684210526319
TN,2007,3,-1.5872631578947365
TN,2007,4,-0.2690526315789474
TN,2007,5,-1.5560000000000005
TN,2007,6,-0.5997894736842103
TN,2007,7,-0.34473684210526306
TN,2007,8,-1.8296842105263154
TN,2007,9,-0.1987368421052632
TN,2007,10,0.6729473684210527
TN,2007,11,-0.09178947368421049
TN,2007,12,-0.14473684210526322
TN,2008,1,-0.45799999999999974
TN,2008,2,-0.02326315789473686
TN,2008,3,0.4882105263157894
TN,2008,4,0.533894736842105
TN,2008,5,0.14715789473684207
TN,2008,6,-0.9416842105263161
TN,2008,7,-0.2196842105263158
TN,2008,8,-0.19947368421052636
TN,2008,9,-1.269052631578947
TN,2008,10,0.08221052631578946
TN,2008,11,-0.5587368421052632
TN,2008,12,1.2009473684210528
TN,2009,1,0.1830526315789474
TN,2009,2,-0.8118947368421053
TN,2009,3,-0.2663157894736842
TN,2009,4,0.020421052631578947
TN,2009,5,1.6666315789473682
TN,2009,6,-0.2068421052631579
TN,2009,7,1.1534736842105267
TN,2009,8,-0.21178947368421047
TN,2009,9,1.5491578947368423
TN,2009,10,1.5583157894736843
TN,2009,11,-1.1110526315789473
TN,2009,12,0.5366315789473683
TN,2010,1,0.425684210526316
TN,2010,2,-0.5486315789473686
TN,2010,3,-0.6223157894736843
TN,2010,4,-0.7237894736842104
TN,2010,5,1.5717894736842108
TN,2010,6,-0.3533684210526316
TN,2010,7,-0.0883157894736842
TN,2010,8,0.4072631578947368
TN,2010,9,-0.6645263157894734
TN,2010,10,-0.02000000000000002
TN,2010,11,0.7785263157894737
TN,2010,12,-0.847578947368421
TN,2011,1,-0.5588421052631576
TN,2011,2,0.019473684210526306
TN,2011,3,0.7550526315789475
TN,2011,4,2.0949473684210536
TN,2011,5,0.14557894736842106
TN,2011,6,0.8065263157894733
TN,2011,7,-0.6948421052631578
TN,2011,8,-1.5693684210526329
TN,2011,9,1.3798947368421053
TN,2011,10,-0.12936842105263163
TN,2011,11,1.464526315789474
TN,2011,12,0.6042105263157892
TN,2012,1,0.2827368421052632
TN,2012,2,-0.6335789473684211
TN,2012,3,-0.05778947368421053
TN,2012,4,-1.4317894736842107
TN,2012,5,-0.49926315789473696
TN,2012,6,-1.293473684210526
TN,2012,7,0.7512631578947366
TN,2012,8,-0.001578947368421018
TN,2012,9,1.1758947368421049
TN,2012,10,0.5811578947368422
TN,2012,11,-1.305473684210527
TN,2012,12,0.5144210526315791
TN,2013,1,1.422736842105263
TN,2013,2,-0.660842105263158
TN,2013,3,0.003157894736842115
TN,2013,4,1.4387368421052633
TN,2013,5,0.5808421052631577
TN,2013,6,0.8838947368421051
TN,2013,7,1.2238947368421056
TN,2013,8,0.32442105263157894
TN,2013,9,0.24831578947368402
TN,2013,10,-0.6572631578947368
TN,2013,11,0.025894736842105262
TN,2013,12,0.8563157894736841
TN,2014,1,-0.8490526315789473
TN,2014,2,0.4519999999999999
TN,2014,3,-0.6065263157894737
TN,2014,4,0.6529473684210528
TN,2014,5,-0.7644210526315791
TN,2014,6,0.9165263157894734
TN,2014,7,-0.1633684210526316
TN,2014,8,0.7086315789473684
TN,2014,9,-0.630842105263158
TN,2014,10,1.7557894736842097
TN,2014,11,-0.2433684210526315
TN,2014,12,-0.026000000000000006
TN,2015,1,-0.8091578947368423
TN,2015,2,0.16178947368421057
TN,2015,3,0.12842105263157894
TN,2015,4,0.7858947368421052
TN,2015,5,-0.5310526315789474
TN,2015,6,0.37136842105263157
TN,2015,7,1.0338947368421054
TN,2015,8,0.4223157894736843
TN,2015,9,-0.18810526315789475
TN,2015,10,0.6044210526315791
TN,2015,11,1.0021052631578946
TN,2015,12,1.1690526315789476
TN,2016,1,-0.7710526315789471
TN,2016,2,0.7667368421052634
TN,2016,3,-0.5204210526315789
TN,2016,4,-0.6496842105263156
TN,2016,5,-0.21736842105263152
TN,2016,6,-0.019052631578947356
TN,2016,7,0.21515789473684216
TN,2016,8,0.5738947368421053
TN,2016,9,-0.7676842105263157
TN,2016,10,-1.5514736842105261
TN,2016,11,-0.3451578947368421
TN,2016,12,0.8596842105263158
TX,1994,1,0.13748031496062996
TX,1994,2,-0.01346456692913387
TX,1994,3,0.07118110236220468
TX,1994,4,-0.016338582677165345
TX,1994,5,0.66251968503937
TX,1994,6,-0.5075196850393701
TX,1994,7,-0.20173228346456698
TX,1994,8,-0.04838582677165353
TX,1994,9,-0.04381889763779528
TX,1994,10,0.8869291338582675
TX,1994,11,0.12362204724409444
TX,1994,12,0.686456692913386
TX,1995,1,0.16673228346456687
TX,1995,2,-0.41692913385826774
TX,1995,3,0.46732283464566915
TX,1995,4,0.21248031496062997
TX,1995,5,0.7373228346456694
TX,1995,6,0.17972440944881907
TX,1995,7,0.022913385826771666
TX,1995,8,0.34377952755905483
TX,1995,9,0.49574803149606284
TX,1995,10,-0.6722440944881893
TX,1995,11,-0.25724409448818897
TX,1995,12,-0.037244094488188974
TX,1996,1,-1.0742913385826773
TX,1996,2,-1.3218897637795268
TX,1996,3,-0.792401574803149
TX,1996,4,-0.5353543307086616
TX,1996,5,-1.121889763779528
TX,1996,6,0.16602362204724416
TX,1996,7,0.17771653543307075
TX,1996,8,1.4397244094488193
TX,1996,9,0.6525196850393697
TX,1996,10,-0.26433070866141745
TX,1996,11,0.6875590551181101
TX,1996,12,-0.6519685039370081
TX,1997,1,-0.13704724409448818
TX,1997,2,1.5401968503937005
TX,1997,3,0.23464566929133865
TX,1997,4,1.3973228346456692
TX,1997,5,0.18334645669291352
TX,1997,6,0.778937007874015
TX,1997,7,-0.5962992125984251
TX,1997,8,0.22433070866141724
TX,1997,9,-0.2953543307086613
TX,1997,10,0.41700787401574807
TX,1997,11,0.16519685039370088
TX,1997,12,0.9245669291338583
TX,1998,1,0.35944881889763763
TX,1998,2,0.948228346456693
TX,1998,3,0.6756299212598421
TX,1998,4,-1.2907086614173227
TX,1998,5,-1.6957086614173227
TX,1998,6,-1.0408267716535433
TX,1998,7,-0.7220866141732284
TX,1998,8,0.5588188976377952
TX,1998,9,0.026929133858267715
TX,1998,10,1.0743700787401576
TX,1998,11,0.8315748031496057
TX,1998,12,0.09303149606299212
TX,1999,1,0.27137795275590537
TX,1999,2,-1.4811023622047248
TX,1999,3,0.94748031496063
TX,1999,4,-0.0835433070866141
TX,1999,5,0.3149212598425199
TX,1999,6,0.5612204724409446
TX,1999,7,-0.14901574803149614
TX,1999,8,-0.9644094488188972
TX,1999,9,-0.6365748031496065
TX,1999,10,-0.4550393700787405
TX,1999,11,-1.4528346456692918
TX,1999,12,-0.28543307086614184
TX,2000,1,-0.30259842519685026
TX,2000,2,-0.41259842519685025
TX,2000,3,0.618897637795276
TX,2000,4,-0.10421259842519688
TX,2000,5,-0.1570472440944882
TX,2000,6,1.0519685039370086
TX,2000,7,-1.2471653543307084
TX,2000,8,-1.7864566929133858
TX,2000,9,-1.032322834645669
TX,2000,10,0.7282283464566927
TX,2000,11,1.5683464566929137
TX,2000,12,0.19240157480314957
TX,2001,1,0.8827559055118113
TX,2001,2,0.5012992125984256
TX,2001,3,1.1414960629921265
TX,2001,4,-1.096141732283464
TX,2001,5,0.008582677165354291
TX,2001,6,-0.39405511811023625
TX,2001,7,-0.9537795275590546
TX,2001,8,0.7623228346456687
TX,2001,9,0.3331496062992125
TX,2001,10,-0.4846850393700787
TX,2001,11,1.0277952755905515
TX,2001,12,0.3222834645669292
TX,2002,1,-0.24496062992125991
TX,2002,2,-0.28834645669291337
TX,2002,3,0.2721259842519682
TX,2002,4,-0.1926771653543308
TX,2002,5,-0.7089370078740157
TX,2002,6,-0.14551181102362204
TX,2002,7,1.034566929133858
TX,2002,8,-0.23464566929133868
TX,2002,9,0.04169291338582675
TX,2002,10,1.3976771653543303
TX,2002,11,0.02326771653543307
TX,2002,12,1.0209055118110242
TX,2003,1,-0.9335039370078739
TX,2003,2,0.6266929133858264
TX,2003,3,-0.3090944881889763
TX,2003,4,-1.0846850393700789
TX,2003,5,-0.9514566929133864
TX,2003,6,0.897244094488189
TX,2003,7,-0.3438976377952756
TX,2003,8,0.03972440944881889
TX,2003,9,0.4398818897637792
TX,2003,10,0.012874015748031492
TX,2003,11,-0.06059055118110239
TX,2003,12,-1.041259842519686
TX,2004,1,0.6723228346456694
TX,2004,2,1.1066929133858254
TX,2004,3,0.5701181102362204
TX,2004,4,0.9504330708661416
TX,2004,5,-0.6174409448818897
TX,2004,6,1.512125984251969
TX,2004,7,0.12901574803149604
TX,2004,8,0.5664960629921263
TX,2004,9,-0.25421259842519717
TX,2004,10,0.7659055118110234
TX,2004,11,2.058622047244096
TX,2004,12,-0.6088582677165357
TX,2005,1,0.597874015748032
TX,2005,2,0.8120866141732285
TX,2005,3,0.2428740157480315
TX,2005,4,-1.2757480314960628
TX,2005,5,-0.1583070866141733
TX,2005,6,-0.8900393700787405
