State_Abbrev,Year,Gas_Per_Gallon
SD,2010,2.7687190476190473
TN,2010,2.64056
TX,2010,2.618797142857143
US,2010,2.731238571428572
UT,2010,2.8448890476190476
VA,2010,2.652650476190477
VT,2010,2.8533523809523813
WA,2010,2.987556666666667
WI,2010,2.8110357142857145
WV,2010,2.86423380952381
WY,2010,2.6647409523809524
AK,2011,4.150933333333333
AL,2011,3.31954
AR,2011,3.3581533333333327
AZ,2011,3.3388466666666665
CA,2011,3.6779199999999994
CO,2011,3.3702199999999998
CT,2011,3.6561999999999997
DC,2011,3.6405133333333333
DE,2011,3.4619266666666664
FL,2011,3.30506
GA,2011,3.2169733333333332
HI,2011,4.152139999999999
IA,2011,3.401593333333333
ID,2011,3.5186399999999995
IL,2011,3.46072
IN,2011,3.3436733333333333
KS,2011,3.3786666666666667
KY,2011,3.458306666666666
LA,2011,3.336433333333333
MA,2011,3.5307066666666667
MD,2011,3.477613333333333
ME,2011,3.63448
MI,2011,3.3798733333333333
MN,2011,3.534326666666666
MO,2011,3.3002333333333334
MS,2011,3.3304
MT,2011,3.5041599999999997
NC,2011,3.465546666666666
ND,2011,3.6103466666666666
NE,2011,3.494506666666666
NH,2011,3.5282933333333326
NJ,2011,3.35212
NM,2011,3.4643399999999995
NV,2011,3.476406666666666
NY,2011,3.5150199999999994
OH,2011,3.466753333333333
OK,2011,3.3086800000000003
OR,2011,3.5657
PA,2011,3.5536333333333325
RI,2011,3.6248266666666664
SC,2011,3.2616199999999997
SD,2011,3.519846666666667
TN,2011,3.3569466666666665
TX,2011,3.33764
US,2011,3.4462399999999995
UT,2011,3.501746666666666
VA,2011,3.3653933333333335
VT,2011,3.651373333333333
WA,2011,3.6815399999999996
WI,2011,3.57294
WV,2011,3.6320666666666663
WY,2011,3.2809266666666668
AK,2012,4.361412857142857
AL,2012,3.3729223809523807
AR,2012,3.413908571428571
AZ,2012,3.5079357142857144
CA,2012,3.885249761904761
CO,2012,3.4524838095238097
CT,2012,3.774345952380952
DC,2012,3.774345952380952
DE,2012,3.5887026190476186
FL,2012,3.3789497619047615
GA,2012,3.2921554761904757
HI,2012,4.362618333333333
IA,2012,3.4717714285714285
ID,2012,3.607990238095238
IL,2012,3.5320452380952383
IN,2012,3.4127030952380952
KS,2012,3.4476619047619046
KY,2012,3.5296342857142857
LA,2012,3.391004523809524
